127.0.0.1 - - [16/May/2022:18:58:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/May/2022:18:58:29 +0900] "GET /JSP/test03.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [16/May/2022:18:58:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:18:58:35 +0900] "GET /HTML/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:10 +0900] "GET /JSP/test03.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:14 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:35 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:37 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:40 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:42 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:18:59:42 +0900] "GET /JSP/test03Result.jsp?name=%EA%B9%80%EB%AF%BC%EC%A4%80&age=20 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/May/2022:19:00:24 +0900] "GET /JSP/test03.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [16/May/2022:19:00:27 +0900] "POST /JSP/test03Result.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [16/May/2022:19:27:48 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:27:57 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/May/2022:19:30:23 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:30:30 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [16/May/2022:19:33:10 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:33:16 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [16/May/2022:19:33:24 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:04 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:10 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:14 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:17 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:18 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:42 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 500 2293
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:45 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:50 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:50 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:55:55 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 500 2293
0:0:0:0:0:0:0:1 - - [16/May/2022:19:57:36 +0900] "GET /JSP/student.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [16/May/2022:19:57:43 +0900] "POST /JSP/studentResult.jsp HTTP/1.1" 200 580
